from,to,x,y,z,qx,qy,qz,qw,translation_sigma,rotation_sigma,loop
128,129,0.44069614187285922,-0.072413282003841672,0.24100716814524503,0.073661100611666003,-0.0080426772370875473,-0.13117258016763336,0.98858642101320815,0.052687129993855525,0.021049226580136027,0
129,130,0.25650556171797234,0.080326722165791509,0.15253160803025168,-0.074789159284620044,-0.006291132525992095,0.14041631760443726,0.98724376982356798,0.047726309635526487,0.021395859421842463,0
130,131,-0.0056850128705967506,0.067608861900220418,-0.035257009105762904,-0.087097659516596565,0.019218898492293881,0.13479377964191236,0.98685118868921751,0.041911533133028596,0.021493745417240764,0
131,132,-0.024024941005819755,0.065869751299416635,-0.022502287934074161,-0.07824591931757853,-0.0038996961140587896,0.14477759241891894,0.98635785454050406,0.041840919418532505,0.021614717365261601,0
132,133,-0.050150555042804967,0.095848692299277616,0.0096608361897061457,-0.075460884620493829,-0.017040479299851259,0.13012495356640447,0.9884749735915751,0.04271516363945934,0.021078745239952359,0
133,134,0.66838977949272405,0.08268062645299068,0.34513209451369065,-0.019683576276719784,0.0084435739163216915,0.051601852976641042,0.99843803596109826,0.058919189101022514,0.017235975549274314,0
134,135,0.66890990576582254,-0.13109675358369444,0.35464467382626541,0.025755127640536789,0.004786846739786999,-0.063770136770009367,0.99762073412436847,0.059209367270702265,0.017759831855199474,0
135,136,0.67540320415947797,0.0052743900178349179,0.37962694558645715,-0.00020162091733011672,0.00069173652941300311,0.013379172349455142,0.99991023526955813,0.059369982014612403,0.015535958426522441,0
136,137,0.67513974321638592,-0.067262168056970495,0.38109520890833437,0.048367948810042062,0.00015099889795119464,-0.0803007749473197,0.99559645653753814,0.059454617549165846,0.018755222125537496,0
137,138,0.28037760331096351,-0.12028407452729795,0.16281439992512503,0.084515405096650842,-0.002216295824631846,-0.12611039718107556,0.98840700222984978,0.048645388505088538,0.021096678932378633,0
138,139,0.31250788280469521,-0.085581151279498613,0.1941598633763526,0.056478330675033224,-0.00206944376745789,-0.12735180088595632,0.99024614837814895,0.04944336284169077,0.020591350252505608,0
139,140,0.36229825876071331,-0.11678503672497698,0.1956428005855706,0.083889014450223634,0.003512220873641959,-0.13213164384996245,0.98766974553876641,0.050699733598461236,0.02128793824543207,0
140,141,0.65464101270017494,0.021553357200147616,0.38055344850873496,-0.0042916481505486824,-0.0051772187633853869,0.013689328345780735,0.99988368346096612,0.058938062366032828,0.015610098468188272,0
141,142,0.46499212561025516,-0.13768340928722367,0.27459028046394707,0.057889676548157479,-0.001168403388235555,-0.1242515502216047,0.9905599287525213,0.053932296566740298,0.02050053415329749,0
142,143,0.27109899600807452,-0.11677557341036326,0.15239486359330812,0.069770480275061761,0.0046083428434886596,-0.10396445473627368,0.99212007106489553,0.048304945613591041,0.020024834203543198,0
143,144,0.63385073421954985,0.080411095390832799,0.35703536226213828,-0.067700736883067755,0.0014546169487692202,0.10681774741573205,0.99196999105419059,0.058298001042434128,0.020072523272244559,0
144,145,0.090470735179710715,0.1039241933310695,0.056944936140666869,-0.080825360270798119,0.0030132806548930102,0.1328886304319469,0.98782528474356845,0.043727257506828536,0.02124807163182086,0
145,146,0.12138249277563062,0.089638822963088671,0.066957623836543689,-0.080729610001119209,-0.0059044572555843793,0.128241232682372,0.98843414231484839,0.044127056421081952,0.021089524526131172,0
